CHEM_ID	SUPER_PATHWAY	SUB_PATHWAY	PATHWAY_SORTORDER	TYPE	CHEMICAL_NAME	PLOT_NAME	HMDB	KEGG	PUBCHEM	PLATFORM
m100000007	Lipid	Carnitine Metabolism	1932	NAMED	carnitine	carnitine	HMDB0000062	"C00487,C00308"	288	Pos Early
m100000010	Xenobiotics	Benzoate Metabolism	4573	NAMED	3-phenylpropionate (hydrocinnamate)	3-phenylpropionate (hydrocinnamate)	HMDB0000764	C05629	107	Neg
m100000011	Amino Acid	Phenylalanine Metabolism	155	NAMED	phenylacetate	phenylacetate	HMDB0000209	C07086	999	Neg
m100000014	Xenobiotics	Benzoate Metabolism	4461	NAMED	hippurate	hippurate	HMDB0000714	C01586	464	Neg
m100000015	Amino Acid	Tryptophan Metabolism	278	NAMED	xanthurenate	xanthurenate	HMDB0000881	C02470	5699	Neg
m100000036	Amino Acid	"Leucine, Isoleucine and Valine Metabolism"	394	NAMED	3-methyl-2-oxovalerate	3-methyl-2-oxovalerate	HMDB0000491	"C03465,C06008,C00671"	"439,286,440,877"	Neg
m100000039	Amino Acid	"Methionine, Cysteine, SAM and Taurine Metabolism"	440	NAMED	methionine sulfoxide	methionine sulfoxide	HMDB0002005	C02989	158980	Pos Early
m100000042	Amino Acid	Histidine Metabolism	72	NAMED	3-methylhistidine	3-methylhistidine	HMDB0000479	C01152	64969	Neg
m100000054	Amino Acid	Lysine Metabolism	119	NAMED	5-hydroxylysine	5-hydroxylysine	HMDB0000450	C16741	3032849	Pos Early
m100000096	Amino Acid	Guanidino and Acetamido Metabolism	563	NAMED	4-guanidinobutanoate	4-guanidinobutanoate	HMDB0003464	C01035	500	Pos Early
m100000257	Carbohydrate	Aminosugar Metabolism	1406	NAMED	glucuronate	glucuronate	HMDB0000127	C16245	"441,478,236,779,769,000,000,000,000,000"	Polar
m100000258	Lipid	Glycerolipid Metabolism	2842	NAMED	glycerol 3-phosphate	glycerol 3-phosphate	HMDB0000126	C0093	754	Pos Early
m100000263	Amino Acid	Histidine Metabolism	83	NAMED	imidazole lactate	imidazole lactate	HMDB0002320	C05568	793	Pos Early
m100000265	Amino Acid	Tryptophan Metabolism	267	NAMED	kynurenine	kynurenine	HMDB0000684	C00328	161166	Pos Early
m100000269	Lipid	Phospholipid Metabolism	2236	NAMED	glycerophosphorylcholine (GPC)	glycerophosphorylcholine (GPC)	HMDB0000086	C00670	71920	Pos Early
